"","ArticleNo","Project.Start.Date","Participation.pretty","Biodiversity.Conservation","Watershed.Services","Landscape.Beauty","Carbon.Sequestration","Agro.Forestry","Area.Based..land.resource.cap.by.land.unit.","Public..state.payed.","Private..Buyers.pay.directly.","Use.restricting..reward.conservation.and.capping.","Asset.building..restoration.","Cash","Land.rights","Infrastructure..health.and.education.services.","Individual","Communal","Intrinsic","Extrinsic","Crowding.in","Crowding.out","Success.of.Project..Attitude.or.outcome.based.","Enviro.Success","enviro.suc.lvl","Economic.Success","econ.suc.lvl","Social.Success","soc.suc.lvl","motive"
"1","26",2005,5,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,"","","1","","Attitude",1,"low","0","none","1","low","notsuff"
"2","72",1997,4,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,"1","","1","0","Attitude",1,"low","","","1","high","intrin"
"3","45",2001,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"","1","0","1","Outcome",1,"med","1","low","1","low","extrin"
"4","102",1991,4,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,"","1","","1","Attitude",1,"low","1","med","","","extrin"
"5","98",2009,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,"","1","","1","Outcome",1,"med","0","none","0","none","extrin"
"6","4",2007,4,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,"","1","","0","Outcome",1,"med","1","high","","","extrin"
"7","86",2015,5,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,"1","","1","1","Attitude/Outcome",1,"low","","","1","high","intrin"
"8","76",2009,2,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,"1","","0","0","Outcome",1,"med","1","low","","","intrin"
"9","78",1998,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,"","1","","","Outcome",1,"low","","","1","low","extrin"
"10","61",2003,6,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,"1","","","","",1,"med","1","med","","","intrin"
"11","105",2003,5,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,"1","","1","0","Attitude",1,"low","1","med","1","high","intrin"
"12","35",2010,5,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,"1","","1","0","Outcome",1,"med","1","med","1","low","intrin"
"13","37",2003,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"","1","0","0","Outcome",1,"med","1","high","1","med","extrin"
"14","32",2010,5,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"","1","1","","attitude",1,"low","","","1","low","extrin"
"15","12",2003,4,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,"","","1","","attitude",1,"low","","","1","med","notsuff"
"16","",2006,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,"1","","1","","",1,"low","0","","","low","intrin"
"17","",2006,5,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,"","1","1","","",1,"med","1","none","1","none","extrin"
"18","",2013,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,"1","","1","1","",1,"med","1","low","1","none","intrin"
"19","",2007,5,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,"","","1","0","",1,"low","","med","1","low","notsuff"
"20","",2013,4,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,"","1","1","0","",1,"low","0","","1","","extrin"
"21","",2014,4,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,"1","","","0","",1,"med","1","med","0","","intrin"
"22","",2005,4,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,"","1","1","","",1,"med","1","","","low","extrin"
"23","",2010,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"","","1","","",1,"med","1","low","","","notsuff"
"24","",2001,6,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,"","1","","0","",1,"med","1","none","","med","extrin"
"25","",1994,5,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,"","1","1","1","",1,"med","1","","","low","extrin"
"26","",2015,4,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,"1","1","1","0","",1,"low","","med","","high","both"
"27","",1997,5,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,"1","","1","1","",1,"low","1","med","1","high","intrin"
"28","",1991,4,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,"1","1","0","1","",1,"low","","low","","low","both"
"29","",1996,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,"","","","1","",1,"low","1","med","","none","notsuff"
"30","",1997,5,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,"1","","0","0","",1,"med","","med","1","low","intrin"
"31","",2005,4,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,"1","1","","","",1,"low","1","med","1","low","both"
"32","",2008,4,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,"","1","","1","",1,"low","0","low","1","","extrin"
"33","",2003,6,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,"","","0","","",1,"low","1","med","0","","notsuff"
"34","",1994,4,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,"1","1","","0","",1,"med","1","low","","none","both"
"35","",2007,5,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,"1","","1","1","",1,"low","1","","1","","intrin"
"36","",2007,4,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,"","1","1","0","",1,"med","1","med","1","med","extrin"
"37","",1997,5,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,"","1","","0","",1,"med","0","low","1","low","extrin"
"38","",1997,2,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,"","","","0","",1,"med","","","","low","notsuff"
"39","",2000,2,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,"1","1","1","","",1,"med","1","","0","","both"
"40","",1998,6,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,"","","1","0","",1,"low","1","med","1","","notsuff"
"41","",2011,5,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,"","1","","0","",1,"med","","high","1","med","extrin"
"42","",1996,4,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"","1","1","0","",1,"med","0","low","1","","extrin"
"43","",2002,5,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,"1","1","0","1","",1,"med","1","med","","high","both"
"44","",2012,5,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,"1","","","0","",1,"low","1","none","1","low","intrin"
"45","",1997,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,"","","0","","",1,"med","1","high","","low","notsuff"
"46","",2002,5,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,"","1","","0","",1,"low","1","","1","high","extrin"
"47","",2012,4,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,"1","1","","0","",1,"med","1","med","1","high","both"
"48","",1999,5,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,"","1","1","1","",1,"med","","","1","high","extrin"
"49","",2004,4,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,"","","0","","",1,"med","","","1","low","notsuff"
"50","",2011,4,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,"1","","","1","",1,"med","1","low","","med","intrin"
"51","",1995,5,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,"1","","1","","",1,"low","1","low","1","","intrin"
"52","",2016,4,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,"1","1","","","",1,"low","1","","","med","both"
"53","",2015,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,"","","","1","",1,"med","1","","1","","notsuff"
"54","",2004,5,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,"","1","1","1","",1,"med","0","low","","med","extrin"
"55","",1994,5,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,"","","","","",1,"low","1","low","1","none","notsuff"
"56","",2005,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,"","","1","0","",1,"low","","low","1","","notsuff"
"57","",1991,4,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,"1","","1","","",1,"low","1","med","0","low","intrin"
"58","",2015,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"","","0","","",1,"low","","low","1","low","notsuff"
"59","",1991,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"1","1","0","","",1,"med","1","med","1","low","both"
"60","",2005,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,"1","1","1","0","",1,"low","1","","1","","both"
"61","",2010,5,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,"","1","0","","",1,"low","","none","","low","extrin"
"62","",1995,4,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,"1","1","1","0","",1,"low","1","none","1","low","both"
"63","",1998,4,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,"","","1","0","",1,"low","1","med","1","","notsuff"
"64","",2002,4,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,"","1","1","0","",1,"low","","med","1","","extrin"
"65","",2001,4,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,"1","","0","","",1,"med","1","none","1","low","intrin"
"66","",2008,6,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,"1","1","","","",1,"med","1","med","1","low","both"
"67","",2006,4,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,"1","1","1","1","",1,"med","1","med","1","high","both"
"68","",2009,2,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,"","","0","","",1,"med","1","","1","low","notsuff"
"69","",1999,4,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,"","1","","0","",1,"med","","high","1","med","extrin"
"70","",1994,4,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,"1","","1","1","",1,"med","1","med","","","intrin"
"71","",1992,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,"1","","","","",1,"med","1","med","1","high","intrin"
"72","",2015,2,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,"","","","1","",1,"low","1","med","0","low","notsuff"
"73","",1991,4,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,"","","1","0","",1,"low","","med","1","","notsuff"
"74","",2014,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,"","1","","","",1,"low","1","med","1","med","extrin"
"75","",2000,2,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,"","1","0","0","",1,"low","","low","","none","extrin"
"76","",2009,4,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,"1","1","","","",1,"med","1","","1","low","both"
"77","",2005,5,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,"","","1","","",1,"med","1","","","low","notsuff"
"78","",1998,5,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,"","","","1","",1,"low","1","med","1","","notsuff"
"79","",1991,4,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,"1","","","","",1,"med","1","med","1","","intrin"
"80","",2001,4,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,"1","","1","1","",1,"low","1","low","","low","intrin"
"81","",2006,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,"1","","1","1","",1,"med","1","none","1","","intrin"
"82","",1991,2,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,"","1","1","","",1,"med","1","med","0","high","extrin"
"83","",2008,5,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,"1","1","","0","",1,"med","","high","1","low","both"
"84","",1994,4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,"","","","","",1,"low","1","med","1","med","notsuff"
"85","",2014,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"1","1","","1","",1,"med","1","low","1","","both"
"86","",1993,5,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,"","1","0","1","",1,"low","1","med","","high","extrin"
"87","",2005,6,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,"1","1","0","0","",1,"med","","","1","high","both"
"88","",1997,5,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,"","1","","0","",1,"low","1","med","","","extrin"
"89","",2006,4,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,"1","1","1","1","",1,"med","1","","","med","both"
"90","",2015,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,"","1","1","0","",1,"med","1","","1","","extrin"
"91","",2009,5,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,"","","","","",1,"low","1","med","","","notsuff"
"92","",2001,5,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,"1","1","0","0","",1,"med","1","low","1","high","both"
"93","",2003,4,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,"1","","","0","",1,"low","1","low","","low","intrin"
"94","",2008,4,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,"","","1","1","",1,"low","1","","1","none","notsuff"
"95","",2003,2,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,"1","1","","0","",1,"low","1","low","1","none","both"
"96","",1998,4,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,"","","1","0","",1,"low","1","high","1","high","notsuff"
"97","",2005,4,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,"1","1","1","","",1,"low","","none","1","high","both"
"98","",2010,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"1","1","","1","",1,"low","1","low","1","low","both"
"99","",2011,4,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,"","1","1","0","",1,"low","1","","1","high","extrin"
"100","",2012,5,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,"","1","","0","",1,"low","1","low","1","none","extrin"
